sifra;naziv;vpc;mpc;pakovanje;grupa;redoslijed;oznaka;akcija_postotak;slika;aktivno
17;KROASAN KAKAO KREM/VANILIJA WOW! 50g;0,64;1,35;1/30;Ostalo Subašić;1;;;17.png;
59;KROASAN KAKAO KREM WOW! 50g;0,64;1,35;1/30;Ostalo Subašić;1;;;59.png;
46;KROASAN VIŠNJA WOW! 50g;0,64;1,35;1/30;Ostalo Subašić;1;;;46.png;
55;PECIVO SEMMELINIES 300g;1,45;1,70;;Pekarski asortiman;1;;;55.jpg;
67;PECIVO INTEGRALNO SEMMELINIES 300g;1,45;1,70;;Pekarski asortiman;1;;;67.jpg;
52B;PECIVO BROTLINIES 300g;1,45;1,70;;Pekarski asortiman;1;;;52B.jpg;
52BK;PECIVO KUKURUZNO BROTLINIES 300g;1,45;1,70;;Pekarski asortiman;1;;;52BK.jpg;
21B;BURGER PECIVO BURGERINIES 210g (3x70g);1,62;1,90;;Pekarski asortiman;1;;;21b.png;
21VB;BURGER PECIVO VEGY BURGERINIES 210g (3x70g);1,62;1,90;;Pekarski asortiman;1;;;21vb.png;
22B;HOT DOG PECIVO BURGERINIES 210g (3x70g);1,62;1,90;;Pekarski asortiman;1;;;22b.png;
02;HLJEB- KRUH REZANI 300g;1,44;1,70;;Pekarski asortiman;1;;;02.png;
12;HLJEB ZVIJEZDA 300g;1,32;1,55;;Pekarski asortiman;1;;;12.png;
23;LEPINA 150g;0,67;0,80;;Pekarski asortiman;1;;;23.png;
13;HLJEB - ŠARENI REZANI 300g;1,49;1,75;;Pekarski asortiman;1;;;13.png;
25;HLJEB - KRUH BAVARSKI 300g;1,41;1,65;;Pekarski asortiman;1;;;25.png;
26;PREZLA UKUS 250g;0,81;0,95;1/20;Ostalo Subašić;1;;;26.png;
26P;PREZLA UKUS 500g;1,28;1,50;1/50;Ostalo Subašić;1;;;26p.png;
38;PREZLA FANTASY 1kg;2,05;2,40;1/20;Ostalo Subašić;1;;;38.png;
98;PŠENIČNI GRIZ 500g;0,85;1,00;1/12;Ostalo Subašić;1;;;98.png;
00226;RUŽICA UKUS 450g;2,43;2,85;1/16;Ostalo Subašić;1;;;00226.jpg;
39;JUFKA PEČENA – MLINCI UKUS 150g;3,71;4,35;1/5;Ostalo Subašić;1;;;39n.png;
112N;KUGLOF VIŠNJA UKUS 400g;3,93;4,60;1/6;Ostalo Subašić;1;;;112n.jpg;
112G;KUGLOF NARANDŽA UKUS 400g;3,93;4,60;1/6;Ostalo Subašić;1;;;112g.jpg;
112V;KUGLOF GROŽĐICE UKUS 400g;3,93;4,60;1/6;Ostalo Subašić;1;;;112v.jpg;
112M;KUGLOF MRAMOR UKUS 400g;3,93;4,60;1/6;Ostalo Subašić;1;;;112m.jpg;
112J;KUGLOF JAFFA UKUS 400g;4,27;5,00;1/6;Ostalo Subašić;1;;;112j.jpg;
00010;TAHAN HALVA UKUS 4kg;34,40;40,25;;Ostalo Subašić;1;;;00010.png;
00480;TAHAN HALVA UKUS 250g;2,30;2,70;;Ostalo Subašić;1;;;00480.png;
00481;TAHAN HALVA UKUS 500g;4,70;5,50;;Ostalo Subašić;1;;;00481.png;
01383;TAHAN HALVA UKUS DELIAKTES 500g;4,83;5,65;;Ostalo Subašić;1;;;01383.png;
01384;TAHAN KOCKA UKUS 500g;4,33;5,65;;Ostalo Subašić;1;;;01384.png;
104;VANILICE VOĆNE UKUS 400g;3,63;4,25;;Ostalo Subašić;1;;;104.png;
105;ŠAPE ORAH UKUS 400g;3,63;4,25;;Ostalo Subašić;1;;;105.png;
106;ŠAPE KOKOS UKUS 400g;3,63;4,25;;Ostalo Subašić;1;;;106.png;
02016;ŠEĆERNA VATA JESS 20g;0,63;0,75;;Ostalo Subašić;1;;;02016.png;
76;RIŽNE PAHULJICE JESS 30g;0,72;0,85;;Ostalo Subašić;1;;;76.png;
81M;MINJON KOCKE JESS 270g;2,09;2,45;;Ostalo Subašić;1;;;81m.png;
82;MEDENJAK KEKS UKUS 400g;2,99;3,50;;Ostalo Subašić;1;;;82.png;
78;ROLETTE ČOKOLADA UKUS 200g;1,58;1,85;;Ostalo Subašić;1;;;78.jpg;
79;ROLETTE LJEŠNJAK UKUS 200g;1,58;1,85;;Ostalo Subašić;1;;;79.jpg;
80;ROLETTE NARANDŽA UKUS 200g;1,58;1,85;;Ostalo Subašić;1;;;80.jpg;
86;ROLETTE MILK I VANILA UKUS 200g;1,58;1,85;;Ostalo Subašić;1;;;86.jpg;
60;MEDENJACI WOW! 400g;2,39;2,80;;Ostalo Subašić;1;;;60.png;
60G;MEDENJACI GLAZIRANI WOW! 400g;2,69;3,15;;Ostalo Subašić;1;;;60g.png;
60M;MEDENJACI WOW! 200g;1,11;1,30;;Ostalo Subašić;1;;;60m.png;
99;PUSLICE WOW! 120g;2,35;2,75;;Ostalo Subašić;1;;;99.png;
97;OBLATNA DOMAĆA WOW! 400g;4,57;5,35;;Ostalo Subašić;1;;;97.png;
97V;OBLATNA DOMAĆA SA VIŠNJAMA WOW! 350g;4,57;5,35;;Ostalo Subašić;1;;;97v.png;
61;GURABIJA DOMAĆA S PEKMEZOM 150g;1,75;2,05;;Ostalo Subašić;1;;;61.png;
96;GURABIJA DOMAĆA 150g;1,62;1,90;;Ostalo Subašić;1;;;96.png;
91;ČAJNO PECIVO ŠLJIVA WOW! 200g;2,52;2,95;;Ostalo Subašić;1;;;91.png;
118;ČAJNO PECIVO VIŠNJA WOW! 200g;2,52;2,95;;Ostalo Subašić;1;;;118.png;
120;ČAJNO PECIVO MARELICA WOW! 200g;2,52;2,95;;Ostalo Subašić;1;;;120.png;
121;ČAJNO PECIVO JAGODA WOW! 200g;2,52;2,95;;Ostalo Subašić;1;;;121.png;
123;ČAJNO PECIVO MALINA WOW! 200g;2,52;2,95;;Ostalo Subašić;1;;;123.png;
102;LOKUM CLASSIC WOW! 400g;4,53;5,30;;Ostalo Subašić;1;;;102.png;
90;LOKUM CLASSIC WOW! 150g;1,71;2,00;;Ostalo Subašić;1;;;90.png;
F01;ČAJ MENTA UKUS 30g;1,28;1,50;;Ostalo Subašić;1;;;f01.png;
F02;ČAJ KAMILICA UKUS 30g;1,19;1,40;;Ostalo Subašić;1;;;f02.png;
F03;ČAJ BRUSNICA UKUS 40g;1,88;2,20;;Ostalo Subašić;1;;;f03.png;
F04;ČAJ ŠIPAK UKUS 56g;1,49;1,75;;Ostalo Subašić;1;;;f04.png;
F05;ČAJ ŠUMSKO VOĆE UKUS 40g;1,88;2,20;;Ostalo Subašić;1;;;f05.png;
F07;ČAJ MAJČINA DUŠICA UKUS 30g;1,19;1,40;;Ostalo Subašić;1;;;f07.png;
F08;ČAJ UVA UKUS 40g;1,32;1,55;;Ostalo Subašić;1;;;f08.png;
F09;ČAJ ŽALFIJA UKUS 30g;1,32;1,55;;Ostalo Subašić;1;;;f09.png;
02148;VREĆICE ZA DOMAĆINSTVO 2L UKUS 20/1;0,59;0,70;;Ostalo Subašić;1;;;02148.png;
02149;VREĆICE ZA DOMAĆINSTVO 3L UKUS 20/1;0,59;0,70;;Ostalo Subašić;1;;;02149.png;
02150;VREĆICE ZA DOMAĆINSTVO 4L UKUS 20/1;0,59;0,70;;Ostalo Subašić;1;;;02150.png;
01410;SPELTA BRAŠNO 1kg;2,78;3,25;;Brašno;1;;;01410.png;
01411;BUREK BRAŠNO T380 1kg;1,70;2,00;;Brašno;1;;;01411.png;
01412;BUREK BRAŠNO T380 5kg;8,25;9,65;;Brašno;1;;;01412.png;
00423;SLATKI RAŽNJIĆ 50g;1,15;1,35;;Slatki program;1;;;00423.png;
00424;SLATKI KORNET 80g;1,79;2,10;;Slatki program;1;;;00424.png;
00425;FUNNY BOX 200g;3,50;4,10;;Slatki program;1;;;00425.png;
01619;PUDING VANILIJA CLASSY 40g (3+1 GRATIS);1,45;1,70;;;1;;;01619.png;
01618;PUDING JAGODA CLASSY 40g (3+1 GRATIS);1,45;1,70;;;1;;;01618.png;
00144;PUDING ČOKOLADA CLASSY 40g (3+1 GRATIS);1,45;1,70;;;1;;;00144.png;
01891;SUPA KOKOŠIJA 58g (3+1 GRATIS);1,71;2,00;;;1;;;01891.png;NE
01889;SUPA POVRTNA 58g (3+1 GRATIS);1,71;2,00;;;1;;;01889.jpg;
01890;SUPA GOVEĐA 58g (3+1 GRATIS);1,71;2,00;;;1;;;01890.jpg;
103;DODATAK JELIMA SA SUŠENIM POVRĆEM 1kg;3,16;3,70;;;1;;;103.png;
00143;DODATAK JELIMA SA SUŠENIM POVRĆEM 200g;0,94;1,10;;;1;;;00143.png;
01325;RIŽA DUGO ZRNO CLASSY 800g;1,79;2,10;;;1;;;01325n.png;
00663;PALENTA POSNA INSTANT 60g;1,07;1,25;;;1;;;00663.jpg;
00664;PALENTA SA SIROM INSTANT 55g;1,28;1,50;;;1;;;00664.png;NE
00219;KADAIF 350g;3,59;4,20;;;1;;;00219.png;
00907;SUHI KVASAC INSTANT PAKMAYA 100g;1,62;1,90;;;1;;;00907.png;NE
00519;SUHI KVASAC INSTANT PAKMAYA 125g;1,96;2,30;;;1;;;00519.png;NE
01075;SUHI KVASAC INSTANT PAKMAYA 450g;5,47;6,40;;;1;;;01075.png;NE
00636;SUHI KVASAC ANGEL 500g;5,26;6,15;;;1;;;00636.png;NE
00844;SIRĆE 9% 1000ml;1,03;1,20;;;1;;;00844.png;
00378;ŠARENA SALATA NATURA 720ml;1,79;2,10;;;1;;;00378.jpg;
00503;ENERGY SPICY GINGER KABISA 250ml;0,72;0,85;;Piće;1;;;00503.png;
00240;ENERGY RODEO 250ml;0,68;0,80;;Piće;1;;;00240.png;
00102;ENERGY BIG DOG 250ml;1,02;1,20;;Piće;1;;;00102.png;
01317;ENERGY HYPER CLASSY 250ml;0,64;0,75;;Piće;1;;;01317.png;
01248;ENERGY JUST POWER 250ml;0,89;1,05;;Piće;1;;;01248.png;
01318;SOK FUN ORANGE CLASSY 250ml;0,77;0,90;;Piće;1;;;01318.png;NE
00527;ENERGY KING 330ml;0,81;0,95;;Piće;1;;;00527.png;
00325;ENERGY KING 500ml;0,94;1,10;;Piće;1;;;00325.png;
01152;SOK MULTIVITAMIN TUANA 200ml;0,36;0,40;;Piće;1;;;01152.png;NE
01153;SOK VIŠNJA TUANA 200ml;0,36;0,40;;Piće;1;;;01153.png;NE
01154;SOK MANGO TUANA 200ml;0,36;0,40;;Piće;1;;;01154.png;NE
01155;SOK BRESKVA TUANA 200ml;0,36;0,40;;Piće;1;;;01155.png;NE
01156;SOK NARANDŽA TUANA 200ml;0,36;0,40;;Piće;1;;;01156.png;NE
01672;SOK KAJSIJA TUANA 200ml;0,36;0,40;;Piće;1;;;01672.png;NE
01681;SOK ANANAS TUANA 200ml;0,36;0,40;;Piće;1;;;01681.png;NE
01365;SOK POMORANDŽA FRUTTECO 1L;0,94;1,10;;Piće;1;;;01365.png;NE
01366;SOK JABUKA FRUTTECO 1L;0,94;1,10;;Piće;1;;;01366.png;
01367;SOK BRESKVA FRUTTECO 1L;0,94;1,10;;Piće;1;;;01367.png;NE
01372;SOK CRVENI MIX FRUTTECO 1L;0,94;1,10;;Piće;1;;;01372.png;NE
